Company Name,School Name,Latitude,Longitude
Popego,San Francisco Unified School District,37.779265,-122.422123
Popego,Civic Center Secondary School,37.780381,-122.422906
Popego,John Swett Alternative Elementary School,37.780419,-122.422836
Popego,C5 Children's School,37.780887,-122.41928
Popego,Mission Montessori,37.776653,-122.418671
Popego,LePort School,37.776344,-122.418868
Popego,French American International School,37.775465,-122.421827
Popego,Tenderloin Community School,37.781867,-122.419696
Popego,Chinese American International School,37.775275,-122.422111
Popego,CAIS Middle School Campus,37.781795,-122.423634
Popego,San Francisco Unified School District,37.779265,-122.422123
Popego,Civic Center Secondary School,37.780381,-122.422906
Popego,John Swett Alternative Elementary School,37.780419,-122.422836
Popego,C5 Children's School,37.780887,-122.41928
Popego,Mission Montessori,37.776653,-122.418671
Popego,LePort School,37.776344,-122.418868
Popego,French American International School,37.775465,-122.421827
Popego,Tenderloin Community School,37.781867,-122.419696
Popego,Chinese American International School,37.775275,-122.422111
Popego,CAIS Middle School Campus,37.781795,-122.423634
Netbiscuits,City College of San Francisco Mission Campus,37.755083,-122.420049
Netbiscuits,Edison Charter Academy,37.754782,-122.426122
Netbiscuits,Theresa Mahler Early Education School,37.75515,-122.42815
Netbiscuits,Theresa S Mahler Nursery Children's Center,37.755248,-122.428037
Netbiscuits,Adda Clevenger School,37.753742,-122.424341
Netbiscuits,St James School,37.751433,-122.423775
Netbiscuits,Immaculate Conception Academy,37.751725,-122.423362
Netbiscuits,Children's Day School Extension,37.759585,-122.42569
Netbiscuits,Buena Vista Horace Mann School,37.753017,-122.421002
Netbiscuits,Horace Mann Middle School,37.753445,-122.420096
Digg,Daniel Webster Elementary SCHL,37.760539,-122.396075
Digg,Live Oak School,37.763563,-122.399263
Digg,"Live Oak, A Learning Center For Children",37.763525,-122.399333
Digg,Potrero Kids Daniel Webster Preschool,37.760604,-122.396079
Digg,Prefund,37.760511,-122.396002
Digg,San Francisco School,37.759844,-122.396607
Cutcaster,Cow Hollow School,37.799073,-122.455624
Cutcaster,German International School of Silicon Valley,37.800017,-122.45547
Cutcaster,The Bay School of San Francisco,37.800623,-122.455859
Cutcaster,Presidio Early Education School,37.797795,-122.46078
Cutcaster,Little Bee Preschool,37.799007,-122.45648
Cutcaster,The Serra Preschool,37.799262,-122.456137
Minted,John Yehall Chin Elementary School,37.798486,-122.403206
Minted,Saint Marys Chinese Day School,37.795777,-122.404818
Minted,Chinese Education Center Elementary School,37.79478,-122.404185
Minted,Edwin and Anita Lee Newcomer School,37.794704,-122.404324
Minted,Seabird Preschool,37.797109,-122.407907
Minted,Nam Kue School,37.793289,-122.405316
Minted,Garfield Elementary School,37.801965,-122.40676
Minted,Kai Ming,37.796351,-122.404995
Minted,Campus Lane Publishing,37.797375,-122.405701
Minted,Savvy Source,37.794845,-122.403329
