,name,category_code,tag_list,offices,zip_code,city,country_code,latitude,longitude
0,Jasper Design,,,[],,,,,
1,Trunkt,ecommerce,"art, design, directory, marketplace, wholesale",[],,,,,
2,Apperceptive,web,design,[],,,,,
3,Medium Design Group,,,[],,,,,
4,BootB,advertising,"online-marketplace, creativity, marketing-services, advertising, design",[],,,,,
5,modula,search,"web-design, software-development, graphic-design, research--strategy, technology-evaluation",[],,,,,
6,Mashware,advertising,"mashups, blogs, standards-based-design, css-layouts, hand-crafted-websites, search-engine-optimization, seo",[],,,,,
7,DesignBay,ecommerce,"design-contests, crowdsourcing, logo-design, web-design, brochure-design, illustration, business-cards, freelance-jobs, job-board, design-marketplace, marketplace",[],,,,,
8,ecimtech,consulting,"offshore-it-outsourcing, software-development-and-maintenance, computing-services, it-services, outsourcing, internet-marketing, web-design, graphic-design, multimedia, audio-streaming, video-streaming, databases, dbms, linux, tech-support, technical-supp",[],,,,,
9,White Light Concepts,advertising,"web-design, web-development, web-applications, web-software, e-commerce, content-management, seo, search-engine-optimization, e-mail-marketing, digital-compositing, digital-art, copywriting, press-releases",[],,,,,
10,DigitiseUrDreams,consulting,"web-design-company-india, web-design-india, website-design-india, web-page-design, custom-web-site-design-india, ecommerce-web-site-design, website-design-and-maintenance, ecommerce-solutions, ecommerce-shopping-cart, ecommerce-web-site-development, web-s",[],,,,,
11,OMC Design Studios,,,[],,,,,
12,HEPHESTO,consulting,"manaus, amazonas, brazil, web-systems, consultancy, software-engineering, infrastructure, internet-marketing, information-security",[],,,,,
13,LucrativDesigns,search,"web-design, graphic-design, search-engine-optimisation",[],,,,,
14,WebMindz24,other,"web-design, search-engine-optimization, seo, website-promotion",[],,,,,
15,designgeist,web,"design, magazine, focus, concepts, aesthetics, graphic-design",[],,,,,
16,NuZoo Media,games_video,"web-design, graphic-design, multimedia, video-production, animation, web-hosting, logo-design, corporate-identity",[],,,,,
17,Face Your Manga,web,"avatars, avatar-design",[],,,,,
18,Mentor Graphics,software,mentor-graphics,[],,,,,
19,Interworld Commnet,advertising,"web-based-application-development, seo, web-design",[],,,,,
20,Blank Canvas Studios,web,web-design,[],,,,,
21,Lime Design,,,[],,,,,
22,Mentor Graphics,software,mentor-graphics,[],,,,,
23,Interworld Commnet,advertising,"web-based-application-development, seo, web-design",[],,,,,
24,Blank Canvas Studios,web,web-design,[],,,,,
25,Lime Design,,,[],,,,,
26,Drage Web Solutions,web,"web-services, consulting, design, podcast, blog",[],,,,,
27,Giant Robots of Destruction,biotech,"robot, destruction, giant-robot, angry-robot, evil-robot, squirrels",[],,,,,
28,Develop Daly,consulting,"web-design, wordpress, seo",[],,,,,
29,Designious,web,"vector, design, illustrations, t-shirt",[],,,,,
30,Netwise Depot,network_hosting,"website-design, website-hosting, search-engine-optimization, online-integration",[],,,,,
31,Tagpoint,web,"developers, web-design, web-development",[],,,,,
32,CSS Rainbow,ecommerce,"website-templates, web-template-designs, web-design, website-design, templateworld, templates, xhtml, flash-templates, css-tremplates, ecommerce-templates, logo-templates, css-gallery, css-design, css, css-showcase, css-websites, website-design-gallery, w",[],,,,,
33,ANEX,consulting,"webdesign, webdevelopment, userinterface, design, hosting",[],,,,,
34,ZLOK,consulting,"logo, brand, design, branding, marketing, switzerland, france, japan, geneva, paris, tokyo, brands, consulting, identity, logotype, logomark, logos",[],,,,,
35,Fluidesign,,,[],,,,,
36,XDnet,network_hosting,"web-hosting, hosting, host, design, coding, servers, web, domains, programming",[],,,,,
37,Maverick Revolution,network_hosting,"internet, services, hosting, design",[],,,,,
38,DotRage,,,[],,,,,
39,Toolwi,web,"widget, service, blog, blogger, tools, muzicons",[],,,,,
40,Las Vegas Studio of Web Design,,,[],,,,,
41,NeillH Freelance Designer,,,[],,,,,
42,Mark Bult Design,consulting,,[],,,,,
43,Artlog,software,"art, galleries, portfolios, portfolio-software, gallery-manager, design, social-community, artists, painters, photography, blog, art-blog, content-management-system",[],,,,,
44,Digital Dreamspace,advertising,"graphic-design, web-design, web-development, print-design, online-marketing, media, internet-marketing, webgains, ad-pepper, ill-flava-records, digital-design, designers, php, cgi, perl, ajax, flash, adobe, macromedia, html, css, javascript",[],,,,,
45,Designer Servers Ltd,,,[],,,,,
46,ISTANBULDIJITAL,web,"php, postgre, mysql, asp-net, xhtml, css, usability, experience, layout, web, site, design",[],,,,,
47,HolyCow Design,other,"graphic-design, freelance, brand, branding, desktop-publishing, digital-scrapbooking, business-card, letterhead, stationary, logo",[],,,,,
48,Webcrawler,web,,[],,,,,
49,Web Devisers  website design,network_hosting,website-design-development--hosting,[],,,,,
50,FundaSite,web,venture-capital-website-design--development-website-funding-website-investment,[],,,,,
51,Agtek Web Design,,,[],,,,,
52,Boctor Design,software,,[],,,,,
53,Olive Design,,,[],,,,,
54,webwork,web,web-designer,[],,,,,
55,creADivity,other,"creadivity, advertising, design-competitions",[],,,,,
56,MATTSHAWNHARRIS,web,webdesign,[],,,,,
57,Gensofts Web Design India,advertising,"web-design-india, seo-services-india",[],,,,,
58,AH Design,biotech,,[],,,,,
59,Seo Smooth Design,,,[],,,,,
60,Web Hosting Search,public_relations,"hosting, hosting-reviews, hosting-providers, design, development",[],,,,,
61,Redwind Software,software,"web-design, custom-software, software, web-development, web-sites",[],,,,,
62,Helldesign,consulting,"internet, design, webdesign, web, xhtml, html, css, coding, code, icons",[],,,,,
63,Open-Mind,other,"media, animation, design, production, comics, reviews, tech",[],,,,,
64,noWice Web Solutions,web,"pakistan-website-design, pakistan-website-development, website-development, web-design, web-designers, web-development, web-design-company, web-developers, nowice-design",[],,,,,
65,Programming Designs,public_relations,"programming, design, software, tech, developer",[],,,,,
66,Mirage-Net,public_relations,"website, programming, site-design, graphic-design, website-builder",[],,,,,
67,Landor Associates,consulting,,[],,,,,
68,MillerWhite School of Design,other,"online-education, elearning, design-school, art-school, education, design-education, workshops, professional-development, graphic-design, creative",[],,,,,
69,Tropica Web Design,web,"liverpool-web-design, web-design, uk-web-design, web-2-0",[],,,,,
70,Vsys Technologies,web,webdesign,[],,,,,
71,TechSipders,software,website-design,[],,,,,
72,ShirtsMyWay,ecommerce,"customization, custom-dress-shirts, bespoke-shirts, made-to-measure-shirts, custom-clothing",[],,,,,
73,Point Motive,software,"designspace, custom, flash, layouts, software, multimedia",[],,,,,
74,Internet Media Marketing,advertising,"web, print, marketing, seo, multimedia, design",[],,,,,
75,Azure Web Design,other,"internet-publishing, content-provider",[],,,,,
76,Web Sarga Solutions,ecommerce,"web-development-company, web-hosting, web-design, seo-services",[],,,,,
77,Devoted Domains,consulting,"web-design, website, internet, seo, search, engine, optimisation, logos, design",[],,,,,
78,MomentumDesignLab,,,[],,,,,
79,Offside Creative,software,"web-design, web-development",[],,,,,
80,3 Unlem Tasarim,web,"web-design, design, programming, optimization, web-programming, css, xhtml, php",[],,,,,
81,Base Design,ecommerce,,[],,,,,
82,MediaWorks 7,software,"screen-capture, screenshot, screen-capture-solution, share-screenshots, productivity-tools",[],,,,,
83,D2V,software,"interactive-design, design, intranet, web-design, consulting, advisor",[],,,,,
84,LogoBopper LLC,other,"business-logo, business-logo-design, business-logos, cheap-logo-design, company-logo, company-logo-design, corporate-logo-design, custom-logo-design, inexpensive-log-design, logo-design, logo-designers, professional-company-logo-designs, quick-logo-design",[],,,,,
85,eNonProfits,consulting,"nonprofit, non-profit, host, design, email, marketing",[],,,,,
86,Solar Design Associates,,,[],,,,,
87,Information Architects,public_relations,"interactive-brand, interactive-brands, ux, interface-design",[],,,,,
88,Centralino,enterprise,"crm, freelancer, contacts, contact-management, relationship-management, client-management, address-book, emails, email-campaign, small-business, web-designer, web-developer, designer, customer-relationship-management",[],,,,,
89,MasterALB Creative,public_relations,masteralb-creative-design-faqe-interneti-hostim-shqiptar,[],,,,,
90,WebDesigns Quote,ecommerce,"b2b-marketplace, business-services, business-marketplace, find-providers, vendors, promote-business",[],,,,,
91,minimalsites,ecommerce,"design, showcase, galley",[],,,,,
92,SX Entertainment,games_video,"sx, entertainment, games, online, arcade, video, sharing, web, design",[],,,,,
93,Arzeda,biotech,,[],,,,,
94,eTutorWorld Corporation,ecommerce,"online-tutoring, homework, education, live-online-tutoring, online-tutors, students, free-online-tutoring, homeschooling, math-tutor, science-tutor, online-math-tutor, science-online-tutor, teachers, math, science, learn-by-design, customized-tutoring",[],,,,,
95,sinhasoft,software,"sinhasoft-com--open-source-solutions, joomla-web-design-delhi, new-delhi, web-designing-company-delhi, web-site-hosting-delhi, web-design-delhi, web-design-outsourcing-delhi, web-designers-delhi, hosting-delhi, delhi-ontario-web-design, ecommerce-website-",[],,,,,
96,Buildor,web,"cloud, html-css-editor, wysiwyg, web-app, dreamweaver, web-design",[],,,,,
97,Yanko Design,public_relations,"design, tech, blog",[],,,,,
98,BlogHelpr,consulting,"blog, design, websites, maintenance, support",[],,,,,
99,12 Inch Design,,,[],,,,,
100,Nobis Interactive,other,"website-design, seo, sem, online-marketing",[],,,,,
101,Pixelperfx,advertising,"film, advertising, media--entertainment, animation, cg, art--design, graphics-design, computer-graphics",[],,,,,
102,Beaudry Studio,advertising,,[],,,,,
103,3D Ace Studio,games_video,"2d, 3d, 3d-graphics, 2d-graphics, 3d-models, next-gen-3d, next-gen-games, next-gen-movies, aaa-game-models, aaa-games, gui-design, game-development, game-outsourcing, custom-game-development, game-models, 3d-movie, 3d-movie-production, 3d-characters",[],,,,,
104,Engine Interactive,consulting,,[],,,,,
105,Solid Cactus,public_relations,,[],,,,,
106,Brice Cheddarn Development,consulting,"coldfusion, web, nerd, development, design",[],,,,,
107,Baytech Webs,advertising,baytech-web-design-development-online-marketing,[],,,,,
108,Jingle Infotech Limited,software,"website-designing, website-re-designing, website-development, e-commerce-solutions, email-creative-designing",[],,,,,
109,dmax creative,network_hosting,"web-developers, web-designers, graphic-designers, logo-design, loge-designers, chennai-designers, designers-india",[],,,,,
110,Redondo Web Company,consulting,,[],,,,,
111,Techvensys,network_hosting,"unlimited-web-hosting, unlimited-web-space, unlimited-bandwidth, cheap-web-hosting, cheapest-reseller-hosting, master-reseller-hosting, best-web-hosting, unlimited-reseller-hosting, affordable-reseller-hosting, web-designing, cheap-affordable-hosting, sha",[],,,,,
112,Drawbackwards,web,,[],,,,,
113,TR Design,public_relations,"medical-device-marketing, medical-device, fda-regulations, graphic-design, pharmaceutical-marketing, strategic-marketing",[],,,,,
114,BackTwounds,other,"twitter-backgrounds, twitter-templates, twitter-layouts, twitter-design, custom-twitter-backgrounds, twitter-template",[],,,,,
115,Barcelona Web Design,,,[],,,,,
