,name,category_code,tag_list,total_money_raised,offices,zip_code,city,country_code,latitude,longitude
0,Sparter,games_video,"gaming, game, wow, worldofwarcraft, virtualgoods",,"[{'zip_code': None, 'city': None, 'country_code': 'USA', 'latitude': 37.09024, 'longitude': -95.712891}]",,,USA,37.09024,-95.712891
1,Devunity,web,"techcrunch50, tc50",100000.0,[],,,,,
2,TechJuicer,,,,[],,,,,
3,Lockergnome,,"tech-news, it-news, blog",,[],,,,,
4,Apperceptive,web,design,,[],,,,,
5,Monte Cristo,games_video,"gaming, mmo",7000000.0,[],,,,,
6,BLUE1647,other,,,[],,,,,
7,JiggyMe,games_video,technology-videos,,[],,,,,
8,GamerVixens,games_video,"female, gamer, video-games, women, social-network",,[],,,,,
9,BuyPlayWin,web,"techstars, techstars-boulder-2008",,[],,,,,
10,Imindi,advertising,"techcrunch50, tc50, collective-intelligence, intelligence-augmentation, semantic-web, thinking, mind, web-3-0",500000.0,[],,,,,
11,exchangeP,web,"techcrunch50, tc50, wisdom-of-the-crowds, fantasy, stock-market",,[],,,,,
12,MIXTT,web,"techcrunch50, tc50, social-networking, social-network, dating, group-dating, online-dating, professional-networking, web-2-0, fun, free",,[],,,,,
13,Myriad Tech,software,"technology-firm, adobe-air, flash, ruby-on-rails, flex-3, social-media",,[],,,,,
14,TechTV,,,,[],,,,,
15,Rinen,web,"techcrunch50, tc50",,[],,,,,
16,BuyPlayWin,web,"techstars, techstars-boulder-2008",,[],,,,,
17,Imindi,advertising,"techcrunch50, tc50, collective-intelligence, intelligence-augmentation, semantic-web, thinking, mind, web-3-0",500000.0,[],,,,,
18,exchangeP,web,"techcrunch50, tc50, wisdom-of-the-crowds, fantasy, stock-market",,[],,,,,
19,MIXTT,web,"techcrunch50, tc50, social-networking, social-network, dating, group-dating, online-dating, professional-networking, web-2-0, fun, free",,[],,,,,
20,Myriad Tech,software,"technology-firm, adobe-air, flash, ruby-on-rails, flex-3, social-media",,[],,,,,
21,TechTV,,,,[],,,,,
22,Rinen,web,"techcrunch50, tc50",,[],,,,,
23,TechTalk Media,,,,[],,,,,
24,Technologies HumanID,,,,[],,,,,
25,Technofeed,web,techno-trends-web-daily-feed,,[],,,,,
26,Mediashake,software,web-analytics,,[],,,,,
27,Magna Techa,web,"tech, technology, news, reviews, computers",,[],,,,,
28,My Tech Question,web,tech-support,,[],,,,,
29,Technology Association of Georgia Healthcare Society,,,,[],,,,,
30,TechFuga,web,,,[],,,,,
31,GamerNode,,,,[],,,,,
32,TechEcho,,,,[],,,,,
33,Mappdev,games_video,"gaming, facebook, social-games, social-networking, games, online-games",,[],,,,,
34,TechnoFinger,other,"technology, blog, news, kennethwatt-com",,[],,,,,
35,Technology Imaging Services,,,,[],,,,,
36,Technopolis Ventures Ltd,,,,[],,,,,
37,Web Momentum,public_relations,"web-development, open-source-development, cms-development, e-commerce-development, asp-net-development",,[],,,,,
38,BuzzNova Media,public_relations,"future, technology",,[],,,,,
39,AutomatedGamer,games_video,"gaming, video-games, game-news, semantic-web",,[],,,,,
40,TechSipders,software,website-design,,[],,,,,
41,DeGeeked,other,"tech-support, consumer-electronics, tech-advice, help",,[],,,,,
42,Web Sarga Solutions,ecommerce,"web-development-company, web-hosting, web-design, seo-services",,[],,,,,
43,Offside Creative,software,"web-design, web-development",,[],,,,,
44,Drive Method,public_relations,,,[],,,,,
45,TechNest Report,web,"tech, blog, podcast, vidcast, news, reviews, analysis, discussion",,[],,,,,
46,eNonProfits,consulting,"nonprofit, non-profit, host, design, email, marketing",,[],,,,,
47,GRAZEit,web,"techonomy, israel, bookmarking, traffic",,[],,,,,
48,Nobis Interactive,other,"website-design, seo, sem, online-marketing",,[],,,,,
